user_id,product_id,review,summary,profile_name,helpfulness,time,score
1,101,"Great product, highly recommend!","Great!","Alice",10,"2024-01-01",5
1,102,"Not what I expected.","Disappointing","Alice",2,"2024-01-02",2
2,101,"Good value for the money.","Value","Bob",5,"2024-01-03",4
2,103,"The product broke after a week.","Unhappy","Bob",1,"2024-01-04",1
3,104,"Excellent quality, will buy again.","Quality","Charlie",8,"2024-01-05",5
3,105,"It does the job but could be better.","Okay","Charlie",4,"2024-01-06",3
4,101,"Loved it, but a bit expensive.","Expensive","David",6,"2024-01-07",4
4,102,"Not worth the price.","Overpriced","David",3,"2024-01-08",2
5,103,"Satisfactory performance.","Satisfactory","Eve",7,"2024-01-09",3
5,104,"Excellent! Exceeded expectations.","Exceeded","Eve",9,"2024-01-10",5
6,105,"Not as described.","Misleading","Frank",2,"2024-01-11",1
6,106,"Very useful and handy.","Useful","Frank",8,"2024-01-12",4
7,101,"Best purchase I've made this year.","Best","Grace",10,"2024-01-13",5
7,102,"Did not meet my expectations.","Mediocre","Grace",3,"2024-01-14",2
8,103,"I would recommend this to others.","Recommend","Hank",6,"2024-01-15",4
8,104,"It's okay, nothing special.","Okay","Hank",4,"2024-01-16",3
9,105,"Excellent quality, worth every penny.","Worth it","Ivy",7,"2024-01-17",5
9,106,"The product is fine.","Fine","Ivy",5,"2024-01-18",3
10,101,"Arrived damaged, very disappointed.","Damaged","John",1,"2024-01-19",1
10,102,"It's good, but not great.","Good","John",6,"2024-01-20",3
11,103,"Love this product!","Love","Kim",8,"2024-01-21",5
11,104,"It's just okay.","Okay","Kim",4,"2024-01-22",3
12,105,"Highly recommend this product.","Recommend","Leo",9,"2024-01-23",5
12,106,"Not what I was expecting.","Not great","Leo",2,"2024-01-24",2
13,107,"Great value for the price.","Value","Mia",7,"2024-01-25",4
13,108,"Not bad, but not great either.","Average","Mia",4,"2024-01-26",3
14,109,"Fantastic product, will buy again.","Fantastic","Nina",10,"2024-01-27",5
14,110,"Product is good, but delivery was late.","Good","Nina",3,"2024-01-28",4
15,111,"Highly recommend to everyone.","Highly recommend","Oscar",6,"2024-01-29",5
15,112,"Product is average.","Average","Oscar",5,"2024-01-30",3
16,113,"Excellent, worth every cent.","Worth it","Paul",8,"2024-01-31",5
16,114,"It does the job.","Job done","Paul",6,"2024-02-01",4
17,115,"Not satisfied with the purchase.","Not satisfied","Quinn",2,"2024-02-02",2
17,116,"The quality is decent.","Decent","Quinn",5,"2024-02-03",3
18,117,"Product exceeded my expectations.","Exceeded","Rita",9,"2024-02-04",5
18,118,"Would not recommend.","Not recommend","Rita",1,"2024-02-05",1
19,119,"Good quality product.","Good","Steve",7,"2024-02-06",4
19,120,"Okay, but not great.","Okay","Steve",4,"2024-02-07",3
20,121,"Fantastic value!","Fantastic","Tina",10,"2024-02-08",5
20,122,"Just okay.","Okay","Tina",3,"2024-02-09",2
